row_index,doc_id,field_name,raw_value,status,mapped_uri_or_reason
22,FAO_023,aboutTaxon,fish,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish
22,FAO_023,aboutLocation,Global,mapped,http://example.org/aqua-kg#Global
22,FAO_023,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
23,FAO_024,docId,FAO_024,skipped_no_predicate,predicate missing in ontology
23,FAO_024,title,Reducing environmental impacts of coastal aquaculture,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_024
23,FAO_024,filePath,data/raw_docs/FAO_024_u3100e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_024
23,FAO_024,language,English,skipped_no_predicate,predicate missing in ontology
23,FAO_024,keywords,aquaculture; environmental protection; coastal aquaculture; pollution; ecosystem impact; sustainability; environmental management; mitigation; environmental impact; aquatic environment; coastal species,skipped_no_predicate,predicate missing in ontology
23,FAO_024,aboutLocation,coastal areas,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Ven_bien
23,FAO_024,aboutLocation,marine environment,unmapped,no ontology match (and manual fallback failed)
23,FAO_024,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
24,FAO_025,docId,FAO_025,skipped_no_predicate,predicate missing in ontology
24,FAO_025,title,"Environmental management and environmental impact assessment in aquaculture: Training Workshop for aquaculture managers. Entebbe, Uganda",set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_025
24,FAO_025,filePath,data/raw_docs/FAO_025_a0366e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_025
24,FAO_025,language,English,skipped_no_predicate,predicate missing in ontology
24,FAO_025,keywords,aquaculture; environmental management; environmental impact assessment; EIA; training; sustainability; ecosystem management; policy implementation; environmental impact; aquatic environment,skipped_no_predicate,predicate missing in ontology
24,FAO_025,aboutTaxon,fish,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish
24,FAO_025,aboutLocation,Uganda,unmapped,no ontology match (and manual fallback failed)
24,FAO_025,aboutLocation,Africa,unmapped,no ontology match (and manual fallback failed)
24,FAO_025,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
25,FAO_026,docId,FAO_026,skipped_no_predicate,predicate missing in ontology
25,FAO_026,title,Aquaculture Environmental Impact Assessment,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_026
25,FAO_026,filePath,data/raw_docs/FAO_026_br813e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_026
25,FAO_026,language,English,skipped_no_predicate,predicate missing in ontology
25,FAO_026,keywords,aquaculture; environmental impact assessment; EIA; environmental monitoring; fishery production; food security; fisheries management; action plans; environmental impact; aquatic environment,skipped_no_predicate,predicate missing in ontology
25,FAO_026,aboutTaxon,fish,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish
25,FAO_026,aboutLocation,Indian Ocean,unmapped,no ontology match (and manual fallback failed)
25,FAO_026,aboutLocation,Southern Africa,unmapped,no ontology match (and manual fallback failed)
25,FAO_026,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
26,FAO_027,docId,FAO_027,skipped_no_predicate,predicate missing in ontology
26,FAO_027,title,Aquaculture Adaptation Framework for Climate Change (Aqua-Adapt),set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_027
26,FAO_027,filePath,data/raw_docs/FAO_027_cd6476en.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_027
26,FAO_027,language,English,skipped_no_predicate,predicate missing in ontology
26,FAO_027,keywords,aquaculture; climate change adaptation; resilience; risk reduction; vulnerability assessment; adaptation strategies; climate resilience; cost-benefit analysis; monitoring; climate change; environmental risk,skipped_no_predicate,predicate missing in ontology
26,FAO_027,aboutTaxon,aquatic species,unmapped,no ontology match (and manual fallback failed)
26,FAO_027,aboutTaxon,fish,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish
26,FAO_027,aboutTaxon,shellfish,unmapped,no ontology match (and manual fallback failed)
26,FAO_027,aboutLocation,Global,mapped,http://example.org/aqua-kg#Global
26,FAO_027,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
27,FAO_028,docId,FAO_028,skipped_no_predicate,predicate missing in ontology
27,FAO_028,title,Climate Change Adaptation in Fisheries and Aquaculture. Compilation of initial examples,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_028
27,FAO_028,filePath,data/raw_docs/FAO_028_i3569e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_028
27,FAO_028,language,English,skipped_no_predicate,predicate missing in ontology
27,FAO_028,keywords,aquaculture; fisheries; climate change adaptation; resilience; case studies; mitigation strategies; coastal management; capacity building; climate change; adaptation,skipped_no_predicate,predicate missing in ontology
